"Ternio
(TERN)";"0.059726
USD"
"Cryptopay
(CPAY)";"0.034670
USD"
"MCAP
(MCAP)";"0.051890
USD"
"Bata
(BTA)";"0.096458
USD"
"DopeCoin
(DOPE)";"0.017824
USD"
"IntenseCoin
(ITNS)";"0.002323
USD"
"XPA
(XPA)";"0.065198
USD"
"Datarius Credit
(DTRC)";"0.003187
USD"
"Aigang
(AIX)";"0.072844
USD"
"TokenStars
(TEAM)";"0.092254
USD"
"ALAX
(ALX)";"0.020664
USD"
"DubaiCoin
(DBIX)";"2.97
USD"
"Dynamic
(DYN)";"1.23
USD"
"Plancoin
(PLAN)";"0.064240
USD"
"HEAT
(HEAT)";"0.101298
USD"
"ProCurrency
(PROC)";"0.002432
USD"
"Atmos
(ATMOS)";"0.021941
USD"
"Senderon
(SDRN)";"0.003742
USD"
"Tokugawa
(TOK)";"0.076900
USD"
"ToaCoin
(TOA)";"0.001237
USD"
"Ink Protocol
(XNK)";"0.019004
USD"
"Devery
(EVE)";"0.046503
USD"
"Mossland
(MOC)";"0.062064
USD"
"Autonio
(NIO)";"0.016116
USD"
"SpaceChain
(SPC)";"0.017933
USD"
"NewYorkCoin
(NYC)";"0.000062
USD"
"Altcoin
(ALT)";"20.14
USD"
"Megacoin
(MEC)";"0.018637
USD"
"Coin(O)
(CNO)";"0.001185
USD"
"PolicyPal Network
(PAL)";"0.014520
USD"
"OKCash
(OK)";"0.066616
USD"
"Loki
(LOKI)";"0.242293
USD"
"BitStation
(BSTN)";"0.000790
USD"
"Cannation
(CNNC)";"0.009418
USD"
"CryCash
(CRC)";"0.138086
USD"
"Spectiv
(SIG)";"0.009174
USD"
"Digitalcoin
(DGC)";"0.040257
USD"
"NuBits
(USNBT)";"0.199812
USD"
"Naviaddress
(NAVI)";"0.006841
USD"
"carVertical
(CV)";"0.001384
USD"
"Pluton
(PLU)";"3.78
USD"
"Zephyr
(ZEPH)";"0.017396
USD"
"Oyster Shell
(SHL)";"0.023763
USD"
"Qwark
(QWARK)";"0.035408
USD"
"Rubycoin
(RBY)";"0.237820
USD"
"EventChain
(EVC)";"0.039342
USD"
"Zeitcoin
(ZEIT)";"0.000051
USD"
"Matryx
(MTX)";"0.194796
USD"
"Chronologic
(DAY)";"1.41
USD"
"Blockpool
(BPL)";"0.068701
USD"
"WandX
(WAND)";"0.057371
USD"
"Photon
(PHO)";"0.000034
USD"
"LOCIcoin
(LOCI)";"0.049489
USD"
"Neutron
(NTRN)";"0.053513
USD"
"Open Trading Network
(OTN)";"0.851918
USD"
"Creditbit
(CRB)";"0.055753
USD"
"Uniform Fiscal Object
(UFO)";"0.000374
USD"
"Crave
(CRAVE)";"0.087245
USD"
"CannabisCoin
(CANN)";"0.019214
USD"
"Solaris
(XLR)";"2.82
USD"
"Bounty0x
(BNTY)";"0.024042
USD"
"Bigbom
(BBO)";"0.003983
USD"
"Obsidian
(ODN)";"0.031327
USD"
"bitBTC
(BITBTC)";"6624.62
USD"
"Creativecoin
(CREA)";"0.067790
USD"
"Stellar Holdings
(HOLD)";"0.001370
USD"
"LockTrip
(LOC)";"0.782259
USD"
"Aeron
(ARN)";"0.574805
USD"
"Aventus
(AVT)";"0.796337
USD"
"eBitcoin
(EBTC)";"0.058051
USD"
"IOTA
(MIOTA)";"0.960324
USD"
"Bitmark
(BTM)";"0.068933
USD"
"InPay
(INPAY)";"0.061110
USD"
"Unify
(UNIFY)";"0.023340
USD"
"Adzcoin
(ADZ)";"0.017371
USD"
"Authorship
(ATS)";"0.004987
USD"

D"
"Guncoin
(GUN)";"0.001372
USD"
"Everus
(EVR)";"0.025927
USD"
"Bitair
(BTCA)";"0.000378
USD"
"Suretly
(SUR)";"2.40
USD"
"Biotron
(BTRN)";"0.015708
USD"
"Ammo Reloaded
(AMMO)";"0.002992
USD"
"808Coin
(808)";"0.000006
USD"
"EncrypGen
(DNA)";"0.060571
USD"
"Zero
(ZER)";"0.300692
USD"
"Paragon
(PRG)";"0.099354
USD"
"BetterBetting
(BETR)";"0.044446
USD"
"BigUp
(BIGUP)";"0.000188
USD"
"Hexx
(HXX)";"3.62
USD"
"Experty
(EXY)";"0.131307
USD"
"KushCoin
(KUSH)";"0.038272
USD"
"Rubies
(RBIES)";"0.018399
USD"
"Kubera Coin
(KBR)";"0.001928
USD"
"CannaCoin
(CCN)";"0.035592
USD"
"CryptoInsight
(TKR)";"0.013005
USD"
"TrumpCoin
(TRUMP)";"0.053177
USD"
"Steneum Coin
(STN)";"0.025844
USD"
"BitcoinZ
(BTCZ)";"0.001434
USD"
"MyBit Token
(MYB)";"0.041180
USD"
"Helleniccoin
(HNC)";"0.002277
USD"
"Haven Protocol
(XHV)";"0.698343
USD"
"E-Dinar Coin
(EDR)";"0.009666
USD"
"NEVERDIE
(NDC)";"0.016902
USD"
"WeTrust
(TRST)";"0.036371
USD"
"Harvest Masternode Coin
(HC)";"0.048648
USD"
"Gambit
(GAM)";"4.27
USD"
"indaHash
(IDH)";"0.013150
USD"
"Hurify
(HUR)";"0.033970
USD"
"AurumCoin
(AU)";"27.70
USD"
"Bitcoin Plus
(XBC)";"24.40
USD"
"WomenCoin
(WOMEN)";"0.000062
USD"
"Rentberry
(BERRY)";"0.018470
USD"
"Deutsche eMark
(DEM)";"0.015653
USD"
"300 Token
(300)";"449.05
USD"
"IP Exchange
(IPSX)";"0.002921
USD"
"Spectre.ai Utility Token
(SXUT)";"0.105089
USD"
"Hedge
(HDG)";"0.834319
USD"
"Riecoin
(RIC)";"0.047338
USD"
"Rise
(RISE)";"0.046687
USD"
"e-Gulden
(EFL)";"0.072663
USD"
"DIMCOIN
(DIM)";"0.003719
USD"
"EuropeCoin
(ERC)";"0.216419
USD"
"Swarm City
(SWT)";"0.538983
USD"
"Pascal Lite
(PASL)";"0.023063
USD"
"Safe Trade Coin
(XSTC)";"0.000311
USD"
"Argentum
(ARG)";"0.102097
USD"
"Bytecent
(BYC)";"0.356873
USD"
"Tracto
(TRCT)";"0.056584
USD"
"eBoost
(EBST)";"0.096484
USD"
"NuShares
(NSR)";"0.000249
USD"
"Sexcoin
(SXC)";"0.012934
USD"
"Miners' Reward Token
(MRT)";"0.092931
USD"
"Granite
(GRN)";"0.002308
USD"
"Gatcoin
(GAT)";"0.003407
USD"
"BiblePay
(BBP)";"0.001916
USD"
"BitTube
(TUBE)";"0.063486
USD"
"XGOX
(XGOX)";"0.000492
USD"
"LiteDoge
(LDOGE)";"0.000064
USD"
"Nullex
(NLX)";"0.025385
USD"
"Flash
(FLASH)";"0.007921
USD"
"LanaCoin
(LANA)";"0.000374
USD"
"Smartshare
(SSP)";"0.002684
USD"
"I0Coin
(I0C)";"0.063678
USD"
"aXpire
(AXP)";"0.017979
USD"
"Waves Community Token
(WCT)";"0.427343
USD"
"BlitzPredict
(XBP)";"0.003117
USD"
"Ellaism
(ELLA)";"0.062866
USD"
"MetalCoin
(METAL)";"0.007542
USD"
"Tigereum
(TIG)";"0.050624
USD"
"Fastcoin
(FST)";"0.002057
USD"
"Onix
(ONX)";"0.004491
USD"
"bitSilver
(BITSILVER)";"18.74
USD"
"Minereum
(MNE)";"0.078001
USD"
"Joulecoin
(XJO)";"0.008180
USD"
"Energycoin
(ENRG)";"0.032057
USD"
"Zennies
(ZENI)";"0.000437
USD"
"EBCH
(EBCH)";"0.056675
USD"
"Network Token
(NTWK)";"0.014743
USD"
"Eryllium
(ERY)";"0.005672
USD"
"Bitdeal
(BDL)";"0.002747
USD"
"FantasyGold
(FGC)";"0.138719
USD"
"Global Currency Reserve
(GCR)";"0.062743
USD"
"TRON
(TRX)";"0.032890
USD"
"Bitsum
(BSM)";"0.000436
USD"
"EchoLink
(EKO)";"0.016323
USD"
"DNotes
(NOTE)";"0.050473
USD"
"Polis
(POLIS)";"1.23
USD"
"GlobalCoin
(GLC)";"0.002556
USD"
"Netko
(NETKO)";"0.036844
USD"
"Mao Zedong
(MAO)";"0.053918
USD"
"Snovio
(SNOV)";"0.009150
USD"
"CrowdCoin
(CRC)";"0.050314
USD"
"SOILcoin
(SOIL)";"0.012467
USD"
"0xBitcoin
(0xBTC)";"0.860628
USD"
"Marscoin
(MARS)";"0.006673
USD"
"STRAKS
(STAK)";"0.110518
USD"
"SpaceCoin
(SPACE)";"0.006331
USD"
"CoinFi
(COFI)";"0.019138
USD"
"C-Bit
(XCT)";"0.000748
USD"
"Lendingblock
(LND)";"0.005258
USD"
"Syndicate
(SYNX)";"0.146516
USD"
"LoMoCoin
(LMC)";"0.020582
USD"
"Emerald Crypto
(EMD)";"0.011102
USD"
"Leverj
(LEV)";"0.040932
USD"
"Trinity Network Credit
(TNC)";"0.025458
USD"
"BitDice
(CSNO)";"0.074799
USD"
"Clams
(CLAM)";"2.62
USD"
"LevoPlus
(LVPS)";"0.001122
USD"
"Blue Protocol
(BLUE)";"0.073744
USD"
"AdShares
(ADST)";"0.131521
USD"
"Zoin
(ZOI)";"0.127716
USD"
"Soma
(SCT)";"0.106276
USD"
"Monkey Project
(MONK)";"2.49
USD"
"Sphere
(SPHR)";"0.703234
USD"
"Rupaya
(RUPX)";"0.070358
USD"
"U.CASH
(UCASH)";"0.003154
USD"
"CoinonatX
(XCXT)";"0.005956
USD"
"8Bit
(8BIT)";"0.090133
USD"
"Tokenbox
(TBX)";"0.104849
USD"
"MACRON
(MCRN)";"0.000249
USD"
"Kobocoin
(KOBO)";"0.037402
USD"
"Golos
(GOLOS)";"0.036464
USD"
"Commodity Ad Network
(CDX)";"0.023778
USD"
"DAOstack
(GEN)";"0.147188
USD"
"Digix Gold Token
(DGX)";"41.56
USD"
"Refereum
(RFR)";"0.003344
USD"
"TeslaCoin
(TES)";"0.019646
USD"
"ConnectJob
(CJT)";"0.006133
USD"
"FintruX Network
(FTX)";"0.034728
USD"
"SixEleven
(611)";"0.172661
USD"
"PlatinumBAR
(XPTX)";"0.867213
USD"
"Paymon
(PMNT)";"0.002941
USD"
"TajCoin
(TAJ)";"0.008974
USD"
"Fabric Token
(FT)";"0.041703
USD"
"Clipper Coin
(CCCX)";"0.005657
USD"
"Elite
(1337)";"0.000060
USD"
"Triangles
(TRI)";"2.97
USD"
"B3Coin
(KB3)";"0.001994
USD"
"Ergo
(EFYT)";"2.94
USD"
"Nework
(NKC)";"0.050113
USD"
"Bitcoin Planet
(BTPL)";"0.008727
USD"
"ALQO
(ALQO)";"0.139361
USD"
"Parkgene
(GENE)";"0.004749
USD"
"Change
(CAG)";"0.128704
USD"
"Shivom
(OMX)";"0.013277
USD"
"FirstCoin
(FRST)";"0.019323
USD"
"Musiconomi
(MCI)";"0.020796
USD"
"BoutsPro
(BOUTS)";"0.014081
USD"
"iTicoin
(ITI)";"10.03
USD"
"BTCtalkcoin
(TALK)";"0.006549
USD"
"Opal
(OPAL)";"0.026257
USD"
"Ignition
(IC)";"0.675584
USD"
"Virtacoin
(VTA)";"0.000014
USD"
"DigitalPrice
(DP)";"0.044895
USD"
"Helbiz
(HBZ)";"0.007099
USD"
"EthBet
(EBET)";"0.034680
USD"
"UpToken
(UP)";"0.044335
USD"
"EtherSportz
(ESZ)";"0.148203
USD"
"GreenMed
(GRMD)";"0.019877
USD"
"Shekel
(JEW)";"0.004310
USD"
"GlobalBoost-Y
(BSTY)";"0.017504
USD"
"Cryptonite
(XCN)";"0.001123
USD"
"TokenDesk
(TDS)";"0.038519
USD"
"Measurable Data Token
(MDT)";"0.018010
USD"
"MAZA
(MAZA)";"0.000624
USD"
"Colu Local Network
(CLN)";"0.033274
USD"
"IslaCoin
(ISL)";"0.109923
USD"
"Transcodium
(TNS)";"0.009081
USD"
"Zilbercoin
(ZBC)";"0.023700
USD"
"Hacken
(HKN)";"1.13
USD"
"Escroco
(ESC)";"0.029064
USD"
"Gapcoin
(GAP)";"0.013721
USD"
"DROXNE
(DRXNE)";"0.001933
USD"
"Influxcoin
(INFX)";"0.070102
USD"
"Pareto Network
(PARETO)";"0.015123
USD"
"Linker Coin
(LNC)";"0.029313
USD"
"Gladius Token
(GLA)";"0.202884
USD"
"Internet of People
(IOP)";"0.689767
USD"
"WCOIN
(WIN)";"0.057693
USD"
"Octoin Coin
(OCC)";"0.370399
USD"
"Fluz Fluz
(FLUZ)";"0.027701
USD"
"Musicoin
(MUSIC)";"0.006299
USD"
"Origin Sport
(ORS)";"0.118526
USD"
"CacheCoin
(CACH)";"0.011538
USD"
"DeviantCoin
(DEV)";"1.31
USD"
"ATBCoin
(ATB)";"0.074050
USD"
"HarmonyCoin
(HMC)";"0.003787
USD"
"SunContract
(SNC)";"0.068451
USD"
"Insights Network
(INSTAR)";"0.019761
USD"
"Sharechain
(SSS)";"0.001060
USD"
"Dero
(DERO)";"0.756784
USD"
"Signals Network
(SGN)";"0.007139
USD"
"FLIP
(FLP)";"0.046373
USD"
"Jin Coin
(JIN)";"0.010035
USD"
"SportyCo
(SPF)";"0.040309
USD"
"Farad
(FRD)";"0.006557
USD"
"AudioCoin
(ADC)";"0.001310
USD"
"Fantomcoin
(FCN)";"0.202372
USD"
"Ecobit
(ECOB)";"0.012738
USD"
"Carboncoin
(CARBON)";"0.000125
USD"
"Ethereum Dark
(ETHD)";"0.051766
USD"
"Opus
(OPT)";"0.012467
USD"
"EncryptoTel [WAVES]
(ETT)";"0.044632
USD"
"Karbo
(KRB)";"0.290040
USD"
"Bitcoin 21
(XBTC21)";"0.139955
USD"
"Eurocoin
(EUC)";"0.006865
USD"
"Grimcoin
(GRIM)";"0.000577
USD"
"BelugaPay
(BBI)";"0.068778
USD"
"AdHive
(ADH)";"0.049072
USD"
"OAX
(OAX)";"0.310667
USD"
"KanadeCoin
(KNDC)";"0.000187
USD"
"On.Live
(ONL)";"0.058593
USD"
"CargoX
(CXO)";"0.034667
USD"
"FORCE
(FOR)";"0.011692
USD"
"Canada eCoin
(CDN)";"0.007850
USD"
"SIBCoin
(SIB)";"0.431112
USD"
"Verify
(CRED)";"0.070749
USD"
"CampusCoin
(CMPCO)";"0.003494
USD"
"Orbitcoin
(ORB)";"0.214361
USD"
"Mysterium
(MYST)";"0.172519
USD"
"I/O Coin
(IOC)";"0.417932
USD"
"GoldPieces
(GP)";"0.047812
USD"
"Eroscoin
(ERO)";"0.025449
USD"
"UnbreakableCoin
(UNB)";"0.263321
USD"
"ShareX
(SEXC)";"0.006514
USD"
"Motocoin
(MOTO)";"0.028928
USD"
"InsaneCoin
(INSN)";"0.019982
USD"
"Truckcoin
(TRK)";"0.001622
USD"
"QubitCoin
(Q2C)";"0.001559
USD"
"Bitswift
(BITS)";"0.224464
USD"
"RouletteToken
(RLT)";"0.049209
USD"
"Fitrova
(FRV)";"0.000009
USD"
"Bit20
(BTWTY)";"285,303
USD"
"Proxeus
(XES)";"0.032747
USD"
"BitClave
(CAT)";"0.007548
USD"
"More Coin
(MORE)";"0.235174
USD"
"PopularCoin
(POP)";"0.000125
USD"
"Bitcurrency
(BTCR)";"0.001310
USD"
"HOdlcoin
(HODL)";"0.001559
USD"
"Hush
(HUSH)";"0.308377
USD"
"Pylon Network
(PYLNT)";"3.00
USD"
"ZoZoCoin
(ZZC)";"0.083948
USD"
"Profile Utility Token
(PUT)";"0.076919
USD"
"PeepCoin
(PCN)";"0.000035
USD"
"Crowdholding
(YUP)";"0.002298
USD"
"Phantasma
(SOUL)";"0.116554
USD"
"Blocklancer
(LNC)";"0.006092
USD"
"TEKcoin
(TEK)";"0.000129
USD"
"Cream
(CRM)";"0.004533
USD"
"Joincoin
(J)";"0.046652
USD"
"BumbaCoin
(BUMBA)";"0.004801
USD"
"Intelligent Trading Foundation
(ITT)";"0.039903
USD"
"Global Cryptocurrency
(GCC)";"0.002969
USD"
"Hackspace Capital
(HAC)";"0.007433
USD"
"Desire
(DSR)";"0.020793
USD"
"Nexium
(NXC)";"0.073312
USD"
"BlazeCoin
(BLZ)";"0.000336
USD"
"Cryptojacks
(CJ)";"0.000374
USD"
"Effect.AI
(EFX)";"0.024510
USD"
"SRCOIN
(SRCOIN)";"0.001111
USD"
"FUNCoin
(FUNC)";"0.008090
USD"
"Oxycoin
(OXY)";"0.076848
USD"
"HollyWoodCoin
(HWC)";"0.477699
USD"
"Tristar Coin
(TSTR)";"0.000249
USD"
"NPER
(NPER)";"0.073234
USD"
"Uquid Coin
(UQC)";"0.814494
USD"
"Dether
(DTH)";"0.034932
USD"
"Leadcoin
(LDC)";"0.003617
USD"
"High Voltage
(HVCO)";"0.066859
USD"
"vTorrent
(VTR)";"0.053200
USD"
"Vezt
(VZT)";"0.039319
USD"
"HelloGold
(HGT)";"0.007975
USD"
"NobleCoin
(NOBL)";"0.000374
USD"
"BlueCoin
(BLU)";"0.001996
USD"
"Thrive Token
(THRT)";"0.029544
USD"
"Upfiring
(UFR)";"0.116332
USD"
"Cashcoin
(CASH)";"0.030716
USD"
"Memetic / PepeCoin
(MEME)";"0.083653
USD"
"Rivetz
(RVT)";"0.193342
USD"
"SpeedCash
(SCS)";"0.125050
USD"
"TrakInvest
(TRAK)";"0.020795
USD"
"Astro
(ASTRO)";"0.806500
USD"
"Tokia
(TKA)";"0.042159
USD"
"Coin2.1
(C2)";"0.001641
USD"
"Shadow Token
(SHDW)";"0.012162
USD"
"SecretCoin
(SCRT)";"0.026195
USD"
"Novacoin
(NVC)";"2.57
USD"
"Bitcoin Atom
(BCA)";"0.427421
USD"
"BitWhite
(BTW)";"0.027958
USD"
"Sharder
(SS)";"0.015903
USD"
"SyncFab
(MFG)";"0.007173
USD"
"HyperStake
(HYP)";"0.001125
USD"
"Bitradio
(BRO)";"0.051395
USD"
"Speed Mining Service
(SMS)";"7.10
USD"
"Bonpay
(BON)";"0.136796
USD"
"Matchpool
(GUP)";"0.098170
USD"
"Unitus
(UIS)";"0.011663
USD"
"BitSend
(BSD)";"0.325710
USD"
"Dovu
(DOVU)";"0.050173
USD"
"LatiumX
(LATX)";"0.050062
USD"
"Beatcoin
(XBTS)";"0.038085
USD"
"Digitex Futures
(DGTX)";"0.006761
USD"
"Embers
(MBRS)";"0.011994
USD"

"Manna
(MANNA)";"0.002058
USD"
"Synergy
(SNRG)";"0.111827
USD"
"TittieCoin
(TTC)";"0.000254
USD"
"Fantasy Cash
(FANS)";"0.083574
USD"
"Monoeci
(XMCC)";"0.169873
USD"
"Theresa May Coin
(MAY)";"0.001254
USD"
"TagCoin
(TAG)";"0.043970
USD"
"FundYourselfNow
(FYN)";"0.502854
USD"
"Linx
(LINX)";"0.018711
USD"
"Flixxo
(FLIXX)";"0.048581
USD"
"Trollcoin
(TROLL)";"0.000819
USD"
"Divi
(DIVX)";"1.02
USD"
"MojoCoin
(MOJO)";"0.013835
USD"
"Evil Coin
(EVIL)";"0.011912
USD"
"LeaCoin
(LEA)";"0.000435
USD"
"Privatix
(PRIX)";"2.94
USD"
"Chainium
(CHX)";"0.022527
USD"
"Ace
(ACE)";"0.114115
USD"
"Dinastycoin
(DCY)";"0.000388
USD"
"Zetacoin
(ZET)";"0.001933
USD"
"SolarCoin
(SLR)";"0.151818
USD"
"Mineum
(MNM)";"0.019215
USD"
"ATMChain
(ATM)";"0.001306
USD"
"X-Coin
(XCO)";"0.008730
USD"
"GoByte
(GBX)";"1.66
USD"
"NevaCoin
(NEVA)";"0.046267
USD"
"Social Send
(SEND)";"0.074836
USD"
"GET Protocol
(GET)";"0.427870
USD"
"Peerguess
(GUESS)";"0.002245
USD"
"42-coin
(42)";"17317.70
USD"
"bitEUR
(BITEUR)";"1.31
USD"
"Bitcoin Red
(BTCRED)";"0.009866
USD"
"WhaleCoin
(WHL)";"0.038303
USD"
"Aphelion
(APH)";"0.152523
USD"
"Litecoin Plus
(LCP)";"0.124794
USD"
"Faceter
(FACE)";"0.010968
USD"
"Californium
(CF)";"0.019085
USD"
"VeriME
(VME)";"0.018893
USD"
"Lykke
(LKK)";"0.059922
USD"
"Quatloo
(QTL)";"0.012910
USD"
"Zilla
(ZLA)";"0.094343
USD"
"Universal Currency
(UNIT)";"0.181968
USD"
"Magnet
(MAG)";"0.020418
USD"
"Education Ecosystem
(LEDU)";"0.009620
USD"
"vSlice
(VSL)";"0.068169
USD"
"VeriumReserve
(VRM)";"1.12
USD"
"Sovereign Hero
(HERO)";"182.89
USD"
"Starbase
(STAR)";"0.007760
USD"
"Bean Cash
(BITB)";"0.003120
USD"

onPaulCoin
(RPC)";"0.080331
USD"
"APX
(APX)";"6.31
USD"
"Pesetacoin
(PTC)";"0.021068
USD"
"Ethorse
(HORSE)";"0.016882
USD"
"Voise
(VOISE)";"0.003371
USD"
"GlobalToken
(GLT)";"0.004577
USD"
"Prime-XI
(PXI)";"0.003871
USD"
"Dollarcoin
(DLC)";"0.011912
USD"
"REBL
(REBL)";"0.032056
USD"
"Bela
(BELA)";"0.071201
USD"
"FundRequest
(FND)";"0.044690
USD"
"BitDegree
(BDG)";"0.012490
USD"
"Piggycoin
(PIGGY)";"0.000686
USD"
"PutinCoin
(PUT)";"0.002285
USD"
"Sumokoin
(SUMO)";"1.24
USD"
"Vsync
(VSX)";"0.007086
USD"
"HireMatch
(HIRE)";"0.022833
USD"
"Etheroll
(DICE)";"1.05
USD"
"Cazcoin
(CAZ)";"0.021081
USD"
"Coinlancer
(CL)";"0.021804
USD"
"CFun
(CFUN)";"0.009177
USD"
"Trident Group
(TRDT)";"0.047815
USD"
"Kolion
(KLN)";"0.835052
USD"
"TrustPlus
(TRUST)";"0.029563
USD"
"The ChampCoin
(TCC)";"0.042223
USD"
"FoldingCoin
(FLDC)";"0.007609
USD"
"Playkey
(PKT)";"0.305358
USD"
"The Cypherfunks
(FUNK)";"0.000011
USD"
"DCORP Utility
(DRPU)";"0.120402
USD"
"Regalcoin
(REC)";"0.024209
USD"
"Equal
(EQL)";"0.001167
USD"
"Digital Rupees
(DRS)";"0.000125
USD"
"Condensate
(RAIN)";"0.003623
USD"
"DeusCoin
(DEUS)";"0.040477
USD"
"Emphy
(EPY)";"0.062809
USD"
"Ethereum Cash
(ECASH)";"0.019896
USD"
"Moin
(MOIN)";"0.061371
USD"
"Hubii Network
(HBT)";"0.283687
USD"
"Nyancoin
(NYAN)";"0.000686
USD"
"Gems
(GEM)";"0.005541
USD"
"Prototanium
(PR)";"1.27
USD"
"Ethereum Gold
(ETG)";"0.013530
USD"
"Masari
(MSR)";"0.544012
USD"
"CryptoPing
(PING)";"0.132448
USD"
"BriaCoin
(BRIA)";"0.869600
USD"
"Sparks
(SPK)";"0.114907
USD"
"Amon
(AMN)";"0.005325
USD"
"Atomic Coin
(ATOM)";"0.010685
USD"
"Solarflarecoin
(SFC)";"0.006675
USD"
"WavesGo
(WGO)";"0.016229
USD"
"Patron
(PAT)";"0.026797
USD"
"Blockport
(BPT)";"0.129338
USD"
"PayCon
(CON)";"0.002370
USD"
"PolySwarm
(NCT)";"0.003240
USD"
"GoldMint
(MNTP)";"0.379427
USD"
"BuzzCoin
(BUZZ)";"0.000121
USD"
"Garlicoin
(GRLC)";"0.013749
USD"
"IrishCoin
(IRL)";"0.005488
USD"
"PostCoin
(POST)";"0.012855
USD"
"Bee Token
(BEE)";"0.019442
USD"
"Nitro
(NOX)";"0.051922
USD"
"Myriad
(XMY)";"0.003490
USD"
"BipCoin
(BIP)";"0.026569
USD"
"Xaurum
(XAUR)";"0.039771
USD"
"Espers
(ESP)";"0.000139
USD"
"Grid+
(GRID)";"0.299111
USD"
"Debitcoin
(DBTC)";"0.005488
USD"
"Primalbase Token
(PBT)";"2901.73
USD"
"CompuCoin
(CPN)";"0.001996
USD"
"Yocoin
(YOC)";"0.023068
USD"
"Auctus
(AUC)";"0.125485
USD"
"GeoCoin
(GEO)";"0.711386
USD"
"COPYTRACK
(CPY)";"0.083211
USD"
"DigiPulse
(DGPT)";"0.380635
USD"
"RussiaCoin
(RC)";"0.166961
USD"
"TransferCoin
(TX)";"0.310117
USD"
"RefToken
(REF)";"1.54
USD"
"Expanse
(EXP)";"0.767146
USD"
"BOAT
(BOAT)";"0.001060
USD"
"Alphacat
(ACAT)";"0.002999
USD"
"Dotcoin
(DOT)";"0.013236
USD"
"ArtByte
(ABY)";"0.003570
USD"
"Mercury Protocol
(GMT)";"0.009749
USD"
"OctoCoin
(888)";"0.002308
USD"
"Maverick Chain
(MVC)";"0.016345
USD"
"Sativacoin
(STV)";"0.015218
USD"
"YENTEN
(YTN)";"0.009584
USD"
"2GIVE
(2GIVE)";"0.005115
USD"
"Denarius
(DNR)";"0.436168
USD"
"Starta
(STA)";"0.490833
USD"
"FlorinCoin
(FLO)";"0.037560
USD"
"Skeincoin
(SKC)";"0.024947
USD"
"Mintcoin
(MINT)";"0.000174
USD"
"Galactrum
(ORE)";"0.588734
USD"
"Universe
(UNI)";"0.025462
USD"
"Daneel
(DAN)";"0.032852
USD"
"Mooncoin
(MOON)";"0.000034
USD"
"MyWish
(WISH)";"0.081017
USD"
"Etheriya
(RIYA)";"0.425173
USD"
"Crown
(CRW)";"0.380220
USD"
"InflationCoin
(IFLT)";"0.000013
USD"
"Internxt
(INXT)";"6.32
USD"
"Invacio
(INV)";"0.019745
USD"
"Sequence
(SEQ)";"0.102097
USD"
"Dreamcoin
(DRM)";"0.023201
USD"
"Hi Mutual Society
(HMC)";"0.016961
USD"
"Bitcrystals
(BCY)";"0.179418
USD"
"Wild Crypto
(WILD)";"0.017192
USD"
"Bitstar
(BITS)";"0.015849
USD"
"Qvolta
(QVT)";"0.048529
USD"
"UniCoin
(UNIC)";"0.180889
USD"
"Nekonium
(NUKO)";"0.005301
USD"
"FlutterCoin
(FLT)";"0.000998
USD"
"Digital Money Bits
(DMB)";"0.005749
USD"
"DraftCoin
(DFT)";"0.106928
USD"
"Blakecoin
(BLC)";"0.014956
USD"
"Ethereum Movie Venture
(EMV)";"0.069945
USD"
"LALA World
(LALA)";"0.019453
USD"
"BritCoin
(BRIT)";"0.011606
USD"
"Omni
(OMNI)";"11.19
USD"
"Kurrent
(KURT)";"0.003583
USD"
"UltraCoin
(UTC)";"0.003368
USD"
"JET8
(J8T)";"0.007570
USD"
"onG.social
(ONG)";"0.038048
USD"
"Vulcano
(VULC)";"0.000187
USD"
"AquariusCoin
(ARCO)";"0.165069
USD"
"SkinCoin
(SKIN)";"0.012066
USD"
"Signatum
(SIGT)";"0.001622
USD"
"ChanCoin
(CHAN)";"0.009979
USD"
"Datacoin
(DTC)";"0.004491
USD"
"NaPoleonX
(NPX)";"0.236022
USD"
"Agrello
(DLT)";"0.078031
USD"
"LiteBitcoin
(LBTC)";"0.001341
USD"
"EXRNchain
(EXRN)";"0.000052
USD"
"Worldcore
(WRC)";"0.013359
USD"
"DaxxCoin
(DAXX)";"0.000374
USD"
"Fujinto
(NTO)";"0.001960
USD"
"Pure
(PURE)";"0.011975
USD"
"Earth Token
(EARTH)";"0.003483
USD"
"Oceanlab
(OCL)";"0.008082
USD"
"CommerceBlock
(CBT)";"0.018827
USD"
"BROTHER
(BRAT)";"0.000270
USD"
"Local World Forwarders
(LWF)";"0.031184
USD"
"ICOS
(ICOS)";"9.59
USD"
"Sense
(SENSE)";"0.038532
USD"
"HeroNode
(HER)";"0.012217
USD"
"Acoin
(ACOIN)";"0.080643
USD"
"Gold Pressed Latinum
(GPL)";"0.149345
USD"
"adbank
(ADB)";"0.007234
USD"
"GoldCoin
(GLD)";"0.061150
USD"
"Dashcoin
(DSH)";"0.086112
USD"
"EZToken
(EZT)";"0.193842
USD"
"Woodcoin
(LOG)";"0.104017
USD"
"Ethbits
(ETBS)";"0.997897
USD"
"Breakout Stake
(BRX)";"0.333896
USD"
"Capricoin
(CPC)";"1.02
USD"
"EverGreenCoin
(EGC)";"0.082628
USD"
"Money
($$$)";"0.001622
USD"
"Switcheo
(SWTH)";"0.015298
USD"
